ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
56,130000,1,1,1,47,0,0,-1,-1,0,-1,38780,33085,33950,30372,27552,23108,31491,26791,22749,23695,24885,22412,1
57,90000,1,1,2,37,0,0,-1,0,-1,0,33226,30857,29609,25222,24005,28306,23440,13372,16359,17128,12676,14650,0
58,30000,1,1,2,37,1,2,2,0,1,2,18559,18851,21451,19138,18124,15580,4888,1192,429,4445,362,312,1
59,90000,2,2,1,44,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,50000,2,1,2,33,2,1,1,1,2,1,24525,27964,28748,28432,27808,30329,8035,11300,4018,6595,3915,10609,1
61,190000,2,3,1,36,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,240000,1,3,1,38,0,0,0,-1,0,0,29059,28182,34677,33105,31393,34319,18902,19093,22228,22732,21497,18124,0
63,130000,1,3,1,48,-1,0,0,0,0,0,37197,35113,33448,35083,29361,24146,19295,24506,12218,22004,13981,9622,0
64,140000,1,1,2,21,0,2,1,1,0,0,59562,58186,56808,52379,62519,76262,21710,20424,27879,11930,7532,27218,0
65,60000,1,1,2,37,1,0,0,1,3,1,32523,35192,36553,30169,32325,29761,7659,10006,9778,8297,16496,9363,0
66,140000,2,2,2,26,2,1,0,1,0,0,81387,87919,72488,72418,85873,91947,43614,40355,16434,28544,8198,16201,0
67,90000,1,1,2,46,-1,-1,-1,0,0,0,44518,38572,42568,47774,45667,37352,24819,12532,30110,30276,21760,22205,0
68,40000,1,2,1,25,0,-1,0,-1,0,0,690,650,518,673,630,721,390,386,396,282,461,488,0
69,90000,1,2,2,45,2,0,0,2,-1,2,45354,45179,60816,56666,65366,74090,7646,25024,22886,12397,17011,14774,0
70,130000,1,1,1,30,0,1,0,1,-1,0,42802,35317,43259,47128,45300,44507,23029,26499,32409,28916,23616,27026,1
71,240000,2,1,2,53,-1,-1,0,0,-1,-1,33532,31012,23183,23519,24107,22770,24627,27338,18840,22799,24107,22770,0
72,100000,2,2,2,27,0,0,-1,-1,-1,0,20957,23467,21730,17389,15908,15969,17220,19330,21730,15695,13517,15458,0
73,70000,2,3,1,37,-1,-1,-1,-1,0,0,11556,12916,16588,11245,12282,11194,10002,10219,9804,7672,10555,7759,0
74,120000,1,2,2,39,-1,0,0,1,0,1,59332,65781,73860,67402,61796,57288,20372,32585,31415,24265,24620,18565,0
75,100000,2,1,1,34,-1,-1,0,0,-1,0,23078,22775,19550,22274,23709,25376,15078,6714,9362,9161,13202,10466,0
76,70000,2,2,1,23,-1,2,1,1,0,-1,29313,28591,23604,26222,29862,28714,8175,11845,6764,10938,15968,7754,1
77,130000,2,2,1,38,-1,-1,-1,-1,0,1,6053,5401,4997,4837,5357,5595,5224,2878,4086,3509,2988,3228,0
78,190000,1,2,2,21,0,1,-1,0,0,-1,120922,122384,129992,140877,135644,134966,52174,53132,79865,23949,77258,74017,0
79,90000,1,2,2,38,3,1,0,-1,0,0,67004,54445,50641,47740,42243,43561,25270,31061,12144,16207,10612,4775,0
80,540000,1,2,2,37,-1,0,0,0,-1,0,116181,106947,114022,117354,119408,102153,79824,64350,62884,69557,50327,61044,0
81,50000,1,1,1,30,2,1,0,0,0,0,31248,31484,36037,38733,40122,39144,10355,11609,21766,6163,19623,15533,0
82,130000,2,1,2,21,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,150000,2,2,2,21,-1,-1,-1,1,1,-1,62292,66074,67167,74824,79914,86564,38229,27618,37929,65358,38976,57756,0
84,50000,1,4,1,27,-1,0,0,2,-1,-1,17071,19943,18643,18927,20603,20010,9778,9936,10971,9680,14720,16049,0
85,130000,2,4,2,33,-1,-1,-1,-1,-1,-1,44483,44570,49189,41134,41487,49359,36092,44256,39762,36725,39767,43051,0
86,50000,1,2,1,39,0,0,-1,0,0,0,18543,18971,18696,16469,13414,13540,6503,6046,11117,7269,1767,7870,0
87,80000,1,2,1,36,1,-1,0,-1,-1,1,12777,13032,12417,13745,15046,16312,7868,7162,8583,10689,10470,12330,0
88,70000,2,2,1,23,-1,0,-1,0,0,-1,25548,22111,23112,25817,26748,24798,10815,17815,11447,13840,10071,14947,0
89,60000,1,3,1,48,1,0,0,1,0,0,26047,21933,23638,21975,22677,23579,9027,8944,6280,9476,6887,13730,0
90,450000,2,2,3,46,0,0,-1,0,-1,0,269507,212491,265049,252892,280791,295862,171934,107211,93093,108018,179108,72097,0
91,90000,2,2,1,34,1,0,1,0,2,2,54494,55824,39724,35345,42846,42095,11431,1116,19765,5009,17342,14435,0
92,160000,1,2,1,43,0,-1,0,-1,0,-1,19680,21184,21785,19693,22396,23746,12138,13150,11562,10152,14973,15040,1
93,70000,1,3,1,27,-1,0,-1,0,0,0,14360,13204,12791,12987,10904,11652,11729,7561,10132,11127,7817,7508,0
94,130000,1,2,1,32,0,-1,0,1,0,-1,54727,58370,46825,52946,54813,58500,31681,24879,35704,18018,23036,43782,0
95,60000,2,1,1,21,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,430000,1,3,2,28,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,180000,2,1,2,32,-1,-1,0,-1,-1,-1,9489,9385,9344,7273,8468,8833,8290,6878,9344,7273,8468,7169,0
98,160000,1,1,1,42,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,80000,2,2,2,42,2,0,0,0,0,0,41621,40527,47346,57757,61799,56767,15068,11263,19028,19749,25210,28221,0
100,140000,1,2,1,25,-1,-1,-1,-1,-1,-1,956,1032,1078,899,957,1082,889,992,862,663,816,867,0
101,310000,2,3,1,27,-1,-1,-1,-1,1,0,120080,109261,107285,106144,112238,114408,77029,65616,67908,95817,85435,51664,0
102,80000,2,2,1,32,3,1,3,0,0,2,49409,56341,60622,71881,73337,56760,15663,21390,16948,1438,1467,19438,1
103,140000,1,3,2,47,-1,0,0,-1,0,0,54186,58339,49517,59474,51433,42731,48045,44348,24338,41487,37116,32612,0
104,50000,1,1,1,43,0,0,0,0,1,2,34458,36870,36024,30054,25003,30524,4923,9348,20153,8104,13002,7509,0
105,250000,2,2,2,38,-1,-1,-1,-1,-1,-1,42427,45994,60714,63239,55215,48666,29631,38994,45742,55278,36731,44879,0
106,120000,2,2,1,39,-1,0,-1,0,0,-1,69868,75433,69235,59547,71138,69223,20205,48679,55563,29045,42186,59325,0
107,160000,2,1,2,36,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,70000,1,1,1,39,-1,-1,-1,0,0,-1,7391,7503,7876,7933,9387,8145,4299,5812,4822,4690,6695,3709,0
109,50000,2,1,2,27,0,0,0,1,0,3,40835,41548,34969,33401,36635,42009,15413,6092,5646,11261,20390,6198,0
110,110000,1,1,2,30,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,140000,2,2,1,27,0,0,0,-1,2,0,54117,60494,73238,81172,85490,87933,10414,24874,41942,40470,46823,32501,1
112,130000,2,1,1,45,2,2,1,0,-1,-1,28139,26589,23724,21571,20015,22351,8562,12662,17959,10979,8781,5922,0
113,130000,2,2,2,50,-1,-1,0,-1,-1,0,16173,17799,12890,9655,9749,9003,13413,9340,10555,7848,8003,6491,0
114,60000,2,2,1,35,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,60000,2,2,1,49,0,-1,1,1,0,0,33497,28106,28386,19574,23337,19940,14519,17407,22486,12192,10937,10515,0
116,120000,2,2,1,42,0,1,-1,-1,-1,-1,6846,7499,6889,8727,9621,14186,6817,4023,5071,7635,4994,9064,0
117,30000,1,2,2,34,0,0,1,0,0,0,10809,10813,9408,7719,8365,7978,5029,5533,3328,4612,3270,2468,0
118,70000,1,4,1,21,1,0,-1,1,0,0,4962,5837,6410,6159,7719,6986,3286,2937,3215,3968,1759,4686,0
119,100000,2,1,1,55,3,2,3,1,1,1,104081,105604,98514,85177,72789,63190,18423,23294,11017,11503,16436,12095,1
120,270000,2,2,2,44,-1,-1,0,-1,1,-1,168698,157365,153898,135383,133931,137748,113887,81360,82681,63252,82317,112959,0
121,130000,2,2,1,34,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,170000,2,3,2,36,1,0,-1,-1,-1,0,77792,62300,59481,56210,55083,47498,39332,46968,29990,22214,25179,18194,1
123,170000,2,2,1,48,-1,0,-1,0,-1,0,92272,81499,76484,87954,86418,77129,64565,49895,49520,56803,28244,39458,0
124,60000,2,1,2,32,4,3,1,0,1,0,54510,64600,65826,71902,75096,67128,11444,10926,13474,14863,26308,5707,0
125,250000,2,3,2,22,0,2,1,0,0,0,212656,161420,150107,151996,127132,131545,43214,68818,44905,37769,49145,59056,0
126,150000,1,1,2,48,0,0,1,0,0,-1,34752,23172,24902,24262,27556,28406,12367,8726,15277,9709,13934,14702,0
127,100000,2,2,2,30,2,0,0,0,2,1,84754,94228,94270,90992,106354,119852,29947,12574,1885,15253,2127,25848,1
128,280000,2,2,1,31,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,210000,2,1,2,21,-1,-1,-1,1,0,-1,63430,62538,58166,53823,56793,52429,46047,47704,45183,31126,30768,39196,1
130,190000,2,2,2,48,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,50000,2,2,2,43,-1,0,-1,0,0,1,19561,18222,18065,16330,16997,15514,13948,10566,9831,13197,12062,10158,0
132,160000,2,1,1,21,-1,-1,-1,-1,-1,-1,30703,27519,26108,20450,19535,18621,24588,27023,26108,20450,19535,14789,0
133,110000,2,2,2,44,0,2,-1,0,0,0,58215,56046,48607,47652,42768,40125,32091,14750,19491,23109,14712,11902,1
134,110000,2,1,2,42,1,-1,-1,0,0,0,96330,60304,56212,59201,53128,67437,72977,29647,23307,32959,28128,52787,1
135,200000,2,1,2,46,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,90000,2,1,1,30,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,180000,2,3,2,21,0,3,0,0,1,0,84062,99810,89517,87250,75478,63538,37921,34428,29049,32911,33206,13966,0
138,90000,2,1,2,30,0,0,2,2,-1,0,24740,19626,23327,21171,17181,15801,5961,9302,7444,4696,6154,9503,1
139,110000,2,2,1,22,2,5,1,1,2,1,103706,90093,93537,96634,87106,78221,2074,1802,17800,1933,1742,14522,1
140,30000,2,2,2,45,6,4,6,4,0,3,30330,27588,26037,29519,30670,29156,607,552,521,590,613,583,0
141,120000,1,2,1,21,1,1,1,0,0,1,52033,57575,62234,61248,61815,60583,19343,17191,24832,18594,31322,32699,0
142,40000,2,2,1,32,-1,-1,-1,-1,-1,0,7894,7383,9118,8032,8242,7554,7894,5534,6651,6253,8221,4809,0
143,300000,2,2,2,26,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,120000,2,1,2,29,-1,2,-1,0,0,0,64561,66614,71070,58129,54838,49437,25309,26851,45062,41440,24256,10637,0
145,100000,2,2,1,32,-1,0,-1,0,-1,0,8322,9166,8855,7195,7684,7122,6663,6221,8765,5179,6450,6135,0
146,150000,2,2,2,39,-1,0,0,0,0,0,20411,22325,26386,26131,29295,35143,15919,19089,16809,13838,18721,20805,0
147,110000,2,1,1,35,-1,-1,0,0,-1,-1,24253,25622,29475,30162,31681,26278,16866,20925,23680,22313,11137,21883,0
148,60000,1,1,2,35,-1,-1,0,-1,1,0,17472,14460,12925,13527,9111,9678,9143,7487,6135,7655,5845,7534,1
149,80000,2,1,1,32,2,1,1,0,0,1,65620,61782,73096,77937,59326,57458,26279,11696,18620,9442,7744,12112,1
150,80000,1,1,2,47,1,0,0,0,-1,0,36120,35676,35822,38325,44339,59330,17370,18956,22254,18954,19976,24621,0
151,70000,2,2,1,42,-1,0,-1,-1,-1,0,9046,8051,7859,7371,8236,8837,6265,4038,5164,4465,4182,6955,0
152,90000,1,3,2,29,-1,-1,-1,-1,-1,-1,6972,6547,6625,7780,8266,9353,6544,6547,5069,7106,8266,7695,0
153,120000,2,3,2,22,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,200000,2,1,2,37,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,200000,1,2,2,36,-1,0,0,-1,1,-1,74673,75648,68122,77599,67584,63270,40625,32985,37137,35531,59706,29336,1
156,110000,2,1,2,28,3,3,3,0,0,1,103816,115107,119483,122832,158944,153782,9680,20161,8732,21481,3179,3076,1
157,220000,2,2,2,28,1,-1,1,-1,-1,-1,52604,58732,50564,36419,34065,39150,33693,31280,31064,18745,14040,18373,0
158,220000,2,1,1,39,4,0,1,0,-1,1,160639,149184,150752,161101,205808,216962,60525,47464,66753,65575,87765,102679,0
159,470000,2,2,2,55,0,0,-1,0,-1,0,156328,133827,135651,124770,119698,140935,64053,92822,81718,102956,91230,85644,0
160,70000,2,2,1,47,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,200000,1,2,2,28,-1,-1,0,1,0,0,72993,65168,65634,63807,64315,67128,63697,45495,33458,53769,46204,67128,0
162,190000,2,1,2,36,-1,0,-1,0,-1,1,19370,15634,14371,14436,13061,13696,12651,12531,11105,13078,9016,13102,0
163,90000,2,2,1,39,4,2,2,2,2,0,63441,86987,78021,79732,76720,84842,1269,1740,15815,1595,1534,6402,1
164,90000,2,1,2,40,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,150000,1,2,2,50,3,1,0,1,0,0,69433,70946,62272,61914,53613,53579,16854,23694,27854,18695,30288,9453,0
166,340000,2,3,1,33,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,230000,1,1,1,27,1,1,3,-1,0,0,139487,148473,144911,133744,136173,150504,30255,62063,45863,28821,49070,60018,1
168,240000,2,2,2,37,-1,0,2,-1,0,0,143828,134624,94580,93304,92682,115492,49695,57568,59202,53400,64382,64393,0
169,120000,1,2,2,27,0,-1,-1,-1,-1,0,50391,50497,61906,50836,51772,49211,17654,38260,34988,29037,24612,23630,0
170,30000,1,2,2,36,-1,0,0,1,0,0,9864,10847,11211,9934,10717,8735,6440,7012,6438,6727,5646,5935,0
171,130000,1,2,1,29,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,80000,2,2,2,41,-1,0,0,2,0,1,28103,31884,30039,32588,31901,33022,10964,19245,10092,14771,14778,16537,1
173,420000,2,2,1,47,0,0,0,0,0,0,92509,92541,123842,107391,107371,123094,73491,84735,73688,74778,64310,87451,0
174,140000,2,2,1,25,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,110000,1,1,2,26,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,110000,2,1,2,26,1,0,-1,2,-1,0,50603,44628,38365,35020,39270,42701,22185,9773,19448,10531,22656,24878,0
177,120000,2,2,1,32,3,1,0,1,0,1,144381,121010,130934,147484,162538,151481,49276,48688,17304,11742,4940,4846,0
178,110000,1,2,2,43,-1,0,-1,0,0,0,37209,38135,32979,39059,35705,30331,23952,19019,16643,21392,22557,16532,0
179,110000,2,1,1,22,0,1,2,-1,1,-1,25899,26573,29780,30005,28858,28208,13712,15948,17085,11006,11315,16469,0
180,190000,2,2,1,38,-1,1,0,0,0,-1,33006,36555,36861,35951,39802,40852,9356,8254,16152,16731,15378,18966,0
181,40000,2,2,2,50,2,2,0,1,0,-1,35358,31649,32031,29509,31231,26881,3807,12601,1946,4689,8679,4188,0
182,160000,1,2,1,27,0,0,-1,0,-1,-1,83671,81683,65329,74585,58495,50337,41782,42907,25907,38152,29651,27815,0
183,90000,2,1,3,29,-1,0,0,0,-1,0,22342,21377,22780,24368,22176,27278,13388,19559,15761,15372,14057,18183,0
184,170000,1,3,2,29,2,1,2,1,0,2,128612,126178,112183,91917,88671,79772,43606,30868,20089,11298,38544,15647,0
185,100000,2,3,1,48,0,2,1,0,0,1,46371,49472,48962,41917,40547,40848,12434,25172,14176,13919,16721,23235,0
186,60000,2,3,2,36,1,1,0,0,2,0,43247,40009,38446,34207,30643,29503,3484,800,4441,684,613,3685,0
187,120000,2,1,1,43,-1,0,0,0,1,0,46165,47648,47568,53288,41334,41629,21498,22140,22925,34118,13062,14763,0
188,90000,1,2,2,30,-1,-1,-1,0,-1,0,12379,12519,13852,11950,12139,11723,10286,11536,8329,10357,11363,9894,0
189,290000,1,3,2,43,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,100000,1,3,2,34,4,0,0,1,1,1,88167,81125,78524,73788,77053,84398,11361,2403,1570,1476,1541,4351,1
191,50000,2,1,1,50,5,2,3,0,1,0,41447,46231,47571,45827,47080,45351,829,925,4476,917,942,5306,0
192,80000,1,1,1,43,-1,-1,-1,-1,-1,-1,11010,12624,13674,11884,10734,11251,3463,7275,8209,6495,7670,5796,0
193,110000,2,2,2,50,-1,0,-1,0,0,0,9529,7706,6924,6094,6303,5501,5538,5143,5041,4066,3208,3587,0
194,80000,1,1,2,45,3,2,0,2,0,0,69336,77301,80548,70029,81917,90225,8214,24689,1611,2412,18240,10178,0
195,150000,2,1,2,27,-1,-1,-1,-1,-1,-1,29086,30277,30602,29796,24736,21471,22975,30277,30602,29100,21303,17111,0
196,60000,2,2,2,50,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,280000,1,1,2,50,0,0,2,0,0,0,199284,138037,129270,118230,111515,105767,59739,61407,42693,54525,21441,39741,0
198,90000,2,2,1,23,-1,-1,0,-1,1,0,23066,29507,24083,23964,24561,25345,15703,18759,16835,11650,16307,17574,0
199,70000,2,2,2,34,0,-1,1,-1,0,0,31915,34999,38835,34165,34079,26534,22895,20023,20811,24262,13787,12101,0
200,60000,2,1,2,28,-1,0,-1,0,1,-1,45056,48003,45692,48194,48840,58886,25864,31184,25149,18128,30667,29607,0
201,60000,2,3,2,38,0,0,0,1,-1,-1,23193,26496,22429,27126,32748,33977,13542,13348,7731,11985,8057,12279,0
202,130000,1,2,2,37,1,1,0,3,1,0,102601,89991,94191,70953,63175,67030,25598,18302,14027,21431,11753,34926,1
203,80000,1,3,2,40,0,0,0,1,0,0,32253,33355,32338,37248,39169,42607,22550,19461,17371,19398,25185,33686,0
204,40000,2,1,1,29,1,-1,1,0,0,0,13980,15199,14468,13082,12994,13781,4992,4726,4950,5518,3455,5171,1
205,110000,2,2,1,22,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,130000,1,2,2,25,0,-1,-1,0,0,-1,71114,87974,92537,105233,84782,66957,32182,38176,60173,47064,51047,30032,0
207,180000,1,3,2,42,-1,-1,-1,-1,-1,0,47147,56464,56320,55261,62473,64562,41628,37860,53225,38121,54605,54364,0
208,60000,2,1,2,27,-1,-1,-1,-1,0,0,16090,10856,8731,9590,9423,8776,12998,7919,8731,8969,7996,6848,0
209,30000,2,2,2,21,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,60000,2,1,1,27,0,-1,0,0,-1,1,28985,24889,24075,20102,20511,21991,16871,12452,14202,10305,13293,17424,0
211,280000,1,3,2,43,2,1,2,0,1,0,90813,94251,83587,86517,95046,122732,8656,37857,32833,29898,42158,40065,0
212,40000,2,1,2,27,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,60000,2,2,2,39,0,0,-1,-1,-1,-1,21158,18985,20053,16009,13668,13440,10596,12333,14946,8332,8074,9983,0
214,130000,2,2,1,35,-1,-1,-1,-1,0,-1,14158,15945,16795,15196,14989,12718,8552,13520,13549,8557,12928,6668,0
215,420000,1,1,1,36,-1,0,-1,1,-1,-1,47578,36287,40886,40450,36687,39837,24710,21137,22038,20418,20877,31099,0
